seq,court,courtCode,title,rocYear,adYear,caseWord,caseNum,caseType,docType,rocDate,adDate,reason,size,judgmentId
1,憲法法庭,JCC,憲法法庭 114 年 統裁 字第 1 號裁定,114,2025,統裁,1,其他,裁定,114.01.08,2025-01-08,,,"JCCC,114,統裁,1,20250108"
2,憲法法庭,JCC,憲法法庭 113 年 統裁 字第 10 號裁定,113,2024,統裁,10,其他,裁定,113.07.26,2024-07-26,,,"JCCC,113,統裁,10,20240726"
3,最高法院,TPS,最高法院 114 年度 台上 字第 5831 號刑事判決,114,2025,台上,5831,刑事,判決,115.02.11,2026-02-11,違反營業秘密法,,"TPSM,114,台上,5831,20260211,1"
4,最高法院,TPS,最高法院 114 年度 台上 字第 1492 號民事判決,114,2025,台上,1492,民事,判決,114.10.29,2025-10-29,違反營業秘密法請求損害賠償等,,"TPSV,114,台上,1492,20251029,1"
5,最高法院,TPS,最高法院 114 年度 台抗 字第 1432 號刑事裁定,114,2025,台抗,1432,刑事,裁定,114.10.02,2025-10-02,違反營業秘密法附帶民事訴訟限制閱覽,,"TPSM,114,台抗,1432,20251002,1"
6,最高法院,TPS,最高法院 114 年度 台抗 字第 1128 號刑事裁定,114,2025,台抗,1128,刑事,裁定,114.07.30,2025-07-30,違反營業秘密法聲請再審及停止刑罰執行,,"TPSM,114,台抗,1128,20250730,1"
7,最高法院,TPS,最高法院 114 年度 台抗 字第 459 號民事裁定,114,2025,台抗,459,民事,裁定,114.07.30,2025-07-30,聲請撤銷營業秘密限制閱覽,,"TPSV,114,台抗,459,20250730,1"
8,最高法院,TPS,最高法院 114 年度 台聲 字第 134 號民事裁定,114,2025,台聲,134,民事,裁定,114.02.13,2025-02-13,請求營業秘密排除侵害聲請核定第三審律師酬金,,"TPSV,114,台聲,134,20250213,1"
9,最高法院,TPS,最高法院 114 年度 台附 字第 1 號刑事判決,114,2025,台附,1,刑事,判決,114.02.13,2025-02-13,違反營業秘密法附帶民訴損害賠償,,"TPSM,114,台附,1,20250213,1"
10,最高法院,TPS,最高法院 114 年度 台上 字第 300 號刑事判決,114,2025,台上,300,刑事,判決,114.02.13,2025-02-13,違反營業秘密法等罪,,"TPSM,114,台上,300,20250213,1"
11,最高法院,TPS,最高法院 113 年度 台抗 字第 2146 號刑事裁定,113,2024,台抗,2146,刑事,裁定,114.01.09,2025-01-09,違反營業秘密法聲請再審及停止刑罰執行,,"TPSM,113,台抗,2146,20250109,1"
12,最高法院,TPS,最高法院 113 年度 台上 字第 274 號民事判決,113,2024,台上,274,民事,判決,113.12.24,2024-12-24,請求營業秘密損害賠償等（商標）,,"TPSV,113,台上,274,20241224,1"
13,最高法院,TPS,最高法院 113 年度 台抗 字第 2145 號刑事裁定,113,2024,台抗,2145,刑事,裁定,113.12.19,2024-12-19,違反營業秘密法限制閱覽,,"TPSM,113,台抗,2145,20241219,1"
14,最高法院,TPS,最高法院 113 年度 台上 字第 885 號民事裁定,113,2024,台上,885,民事,裁定,113.06.20,2024-06-20,請求營業秘密排除侵害（勞動）,,"TPSV,113,台上,885,20240620,1"
15,最高法院,TPS,最高法院 113 年度 台上 字第 455 號民事裁定,113,2024,台上,455,民事,裁定,113.05.30,2024-05-30,請求營業秘密排除侵害,,"TPSV,113,台上,455,20240530,1"
16,最高法院,TPS,最高法院 113 年度 台抗 字第 669 號刑事裁定,113,2024,台抗,669,刑事,裁定,113.05.22,2024-05-22,違反營業秘密法聲請再審及停止刑罰執行,,"TPSM,113,台抗,669,20240522,1"
17,最高法院,TPS,最高法院 111 年度 台上 字第 2791 號民事裁定,111,2022,台上,2791,民事,裁定,113.03.27,2024-03-27,請求營業秘密損害賠償事件,,"TPSV,111,台上,2791,20240327,1"
18,最高法院,TPS,最高法院 111 年度 台上 字第 2922 號民事判決,111,2022,台上,2922,民事,判決,113.03.14,2024-03-14,請求營業秘密損害賠償等（勞動）,,"TPSV,111,台上,2922,20240314,1"
19,最高法院,TPS,最高法院 112 年度 台附 字第 1 號刑事裁定,112,2023,台附,1,刑事,裁定,113.02.27,2024-02-27,違反營業秘密法等罪刑事附帶民訴損害賠償,,"TPSM,112,台附,1,20240227,1"
20,最高法院,TPS,最高法院 112 年度 台上 字第 229 號刑事判決,112,2023,台上,229,刑事,判決,113.02.27,2024-02-27,違反營業秘密法,,"TPSM,112,台上,229,20240227,1"
21,最高法院,TPS,最高法院 112 年度 台上 字第 13 號刑事判決,112,2023,台上,13,刑事,判決,113.02.27,2024-02-27,違反營業秘密法等罪,,"TPSM,112,台上,13,20240227,1"
22,最高法院,TPS,最高法院 112 年度 台附 字第 17 號刑事判決,112,2023,台附,17,刑事,判決,112.09.27,2023-09-27,違反營業秘密法等罪附帶民訴損害賠償,,"TPSM,112,台附,17,20230927,1"
23,最高法院,TPS,最高法院 112 年度 台上 字第 4036 號刑事判決,112,2023,台上,4036,刑事,判決,112.09.27,2023-09-27,違反營業秘密法等罪,,"TPSM,112,台上,4036,20230927,1"
24,最高法院,TPS,最高法院 112 年度 台抗 字第 719 號刑事裁定,112,2023,台抗,719,刑事,裁定,112.06.15,2023-06-15,違反營業秘密法聲請再審暨停止刑罰執行,,"TPSM,112,台抗,719,20230615,1"
25,最高法院,TPS,最高法院 112 年度 台抗 字第 240 號民事裁定,112,2023,台抗,240,民事,裁定,112.03.23,2023-03-23,請求營業秘密損害賠償(勞動)聲,,"TPSV,112,台抗,240,20230323,1"
26,最高法院,TPS,最高法院 112 年度 台聲 字第 102 號民事裁定,112,2023,台聲,102,民事,裁定,112.02.09,2023-02-09,請求營業秘密法損害賠償等聲請,,"TPSV,112,台聲,102,20230209,1"
27,最高法院,TPS,最高法院 112 年度 台抗 字第 52 號民事裁定,112,2023,台抗,52,民事,裁定,112.01.17,2023-01-17,請求營業秘密排除侵害等（移轉,,"TPSV,112,台抗,52,20230117,1"
28,最高法院,TPS,最高法院 111 年度 台聲 字第 2384 號民事裁定,111,2022,台聲,2384,民事,裁定,112.01.04,2023-01-04,請求營業秘密損害賠償聲請核定,,"TPSV,111,台聲,2384,20230104,1"
29,最高法院,TPS,最高法院 111 年度 台上 字第 4256 號刑事判決,111,2022,台上,4256,刑事,判決,111.12.14,2022-12-14,違反營業秘密法,,"TPSM,111,台上,4256,20221214,1"
30,最高法院,TPS,最高法院 111 年度 台上 字第 1300 號民事裁定,111,2022,台上,1300,民事,裁定,111.10.12,2022-10-12,請求營業秘密損害賠償,,"TPSV,111,台上,1300,20221012,1"
31,最高法院,TPS,最高法院 111 年度 台抗 字第 576 號民事裁定,111,2022,台抗,576,民事,裁定,111.08.18,2022-08-18,請求營業秘密排除侵害等（移轉管轄）,,"TPSV,111,台抗,576,20220818,1"
32,最高法院,TPS,最高法院 111 年度 台上 字第 3655 號刑事判決,111,2022,台上,3655,刑事,判決,111.08.17,2022-08-17,違反營業秘密法,,"TPSM,111,台上,3655,20220817,1"
33,最高法院,TPS,最高法院 111 年度 台上 字第 2871 號刑事判決,111,2022,台上,2871,刑事,判決,111.07.14,2022-07-14,違反營業秘密法等罪,,"TPSM,111,台上,2871,20220714,1"
34,最高法院,TPS,最高法院 110 年度 台上 字第 2714 號民事判決,110,2021,台上,2714,民事,判決,111.07.13,2022-07-13,營業秘密排除侵害,,"TPSV,110,台上,2714,20220713,1"
35,最高法院,TPS,最高法院 111 年度 台上 字第 979 號刑事判決,111,2022,台上,979,刑事,判決,111.07.07,2022-07-07,違反營業秘密法,,"TPSM,111,台上,979,20220707,1"
36,最高法院,TPS,最高法院 111 年度 台抗 字第 553 號民事裁定,111,2022,台抗,553,民事,裁定,111.06.30,2022-06-30,請求營業秘密損害賠償等聲請法官迴避,,"TPSV,111,台抗,553,20220630,1"
37,最高法院,TPS,最高法院 111 年度 台抗 字第 438 號民事裁定,111,2022,台抗,438,民事,裁定,111.06.23,2022-06-23,請求營業秘密損害賠償等聲請限制閱覽,,"TPSV,111,台抗,438,20220623,1"
38,最高法院,TPS,最高法院 110 年度 台上 字第 73 號民事裁定,110,2021,台上,73,民事,裁定,111.05.05,2022-05-05,請求營業秘密損害賠償等,,"TPSV,110,台上,73,20220505,1"
39,最高法院,TPS,最高法院 110 年度 台上 字第 2661 號刑事判決,110,2021,台上,2661,刑事,判決,111.04.14,2022-04-14,違反營業秘密法等罪,,"TPSM,110,台上,2661,20220414,1"
40,最高法院,TPS,最高法院 111 年度 台抗 字第 413 號刑事裁定,111,2022,台抗,413,刑事,裁定,111.03.24,2022-03-24,違反營業秘密法不得筆記,,"TPSM,111,台抗,413,20220324,1"
41,最高法院,TPS,最高法院 110 年度 台抗 字第 1367 號民事裁定,110,2021,台抗,1367,民事,裁定,111.02.17,2022-02-17,請求營業秘密排除侵害等,,"TPSV,110,台抗,1367,20220217,1"
